8.80571e-05 2.72427e+01  -2.72417e+01 0.00000e+00 
8.85781e-05 2.78931e+01  -2.78921e+01 0.00000e+00 
8.90991e-05 2.85555e+01  -2.85545e+01 0.00000e+00 
8.96201e-05 2.92295e+01  -2.92285e+01 0.00000e+00 
9.01412e-05 2.99148e+01  -2.99138e+01 0.00000e+00 
9.06622e-05 3.06118e+01  -3.06108e+01 0.00000e+00 
9.11832e-05 3.13211e+01  -3.13201e+01 0.00000e+00 
9.17042e-05 3.20431e+01  -3.20421e+01 0.00000e+00 
9.22252e-05 3.27779e+01  -3.27768e+01 0.00000e+00 
9.27462e-05 3.35250e+01  -3.35239e+01 0.00000e+00 
9.32672e-05 3.42842e+01  -3.42831e+01 0.00000e+00 
9.37882e-05 3.50560e+01  -3.50550e+01 0.00000e+00 
9.43092e-05 3.58412e+01  -3.58401e+01 0.00000e+00 
9.48302e-05 3.66400e+01  -3.66389e+01 0.00000e+00 
9.53513e-05 3.74521e+01  -3.74510e+01 0.00000e+00 
9.58723e-05 3.82772e+01  -3.82760e+01 0.00000e+00 
9.63933e-05 3.91154e+01  -3.91142e+01 0.00000e+00 
9.69143e-05 3.99674e+01  -3.99662e+01 0.00000e+00 
9.74353e-05 4.08337e+01  -4.08326e+01 0.00000e+00 
9.79563e-05 4.17144e+01  -4.17133e+01 0.00000e+00 
9.84773e-05 4.26091e+01  -4.26079e+01 0.00000e+00 
9.89983e-05 4.35175e+01  -4.35163e+01 0.00000e+00 
9.95193e-05 4.44400e+01  -4.44388e+01 0.00000e+00 
1.00040e-04 4.53775e+01  -4.53763e+01 0.00000e+00 
1.00561e-04 4.63304e+01  -4.63291e+01 0.00000e+00 
1.01082e-04 4.72984e+01  -4.72971e+01 0.00000e+00 
1.01603e-04 4.82810e+01  -4.82798e+01 0.00000e+00 
1.02124e-04 4.92783e+01  -4.92770e+01 0.00000e+00 
1.02645e-04 5.02907e+01  -5.02894e+01 0.00000e+00 
1.03166e-04 5.13192e+01  -5.13179e+01 0.00000e+00 
1.03687e-04 5.23640e+01  -5.23627e+01 0.00000e+00 
1.04208e-04 5.34248e+01  -5.34234e+01 0.00000e+00 
1.04729e-04 5.45010e+01  -5.44996e+01 0.00000e+00 
1.05250e-04 5.55928e+01  -5.55914e+01 0.00000e+00 
1.05771e-04 5.67009e+01  -5.66996e+01 0.00000e+00 
1.06292e-04 5.78262e+01  -5.78248e+01 0.00000e+00 
1.06813e-04 5.89686e+01  -5.89672e+01 0.00000e+00 
1.07334e-04 6.01277e+01  -6.01263e+01 0.00000e+00 
1.07855e-04 6.13031e+01  -6.13017e+01 0.00000e+00 
1.08376e-04 6.24953e+01  -6.24939e+01 0.00000e+00 
1.08897e-04 6.37051e+01  -6.37037e+01 0.00000e+00 
1.09418e-04 6.49332e+01  -6.49317e+01 0.00000e+00 
1.09939e-04 6.61791e+01  -6.61776e+01 0.00000e+00 
1.10460e-04 6.74424e+01  -6.74409e+01 0.00000e+00 
1.10981e-04 6.87229e+01  -6.87214e+01 0.00000e+00 
1.11502e-04 7.00214e+01  -7.00199e+01 0.00000e+00 
1.12023e-04 7.13389e+01  -7.13374e+01 0.00000e+00 
1.12544e-04 7.26757e+01  -7.26742e+01 0.00000e+00 
1.13065e-04 7.40312e+01  -7.40296e+01 0.00000e+00 
1.13586e-04 7.54047e+01  -7.54031e+01 0.00000e+00 
1.14107e-04 7.67965e+01  -7.67949e+01 0.00000e+00 
1.14628e-04 7.82077e+01  -7.82061e+01 0.00000e+00 
1.15149e-04 7.96391e+01  -7.96375e+01 0.00000e+00 
1.15670e-04 8.10908e+01  -8.10891e+01 0.00000e+00 
1.16191e-04 8.25619e+01  -8.25602e+01 0.00000e+00 
1.16712e-04 8.40518e+01  -8.40502e+01 0.00000e+00 
1.17233e-04 8.55613e+01  -8.55597e+01 0.00000e+00 
1.17754e-04 8.70916e+01  -8.70899e+01 0.00000e+00 
1.18275e-04 8.86434e+01  -8.86416e+01 0.00000e+00 
1.18796e-04 9.02161e+01  -9.02143e+01 0.00000e+00 
1.19317e-04 9.18089e+01  -9.18072e+01 0.00000e+00 
1.19838e-04 9.34218e+01  -9.34201e+01 0.00000e+00 
1.20359e-04 9.50557e+01  -9.50540e+01 0.00000e+00 
1.20880e-04 9.67118e+01  -9.67100e+01 0.00000e+00 
1.21401e-04 9.83903e+01  -9.83885e+01 0.00000e+00 
1.21922e-04 1.00091e+02  -1.00089e+02 0.00000e+00 
1.22443e-04 1.01812e+02  -1.01810e+02 0.00000e+00 
1.22964e-04 1.03554e+02  -1.03552e+02 0.00000e+00 
1.23485e-04 1.05319e+02  -1.05317e+02 0.00000e+00 
1.24006e-04 1.07108e+02  -1.07106e+02 0.00000e+00 
1.24527e-04 1.08920e+02  -1.08918e+02 0.00000e+00 
1.25048e-04 1.10754e+02  -1.10752e+02 0.00000e+00 
1.25569e-04 1.12610e+02  -1.12608e+02 0.00000e+00 
1.26090e-04 1.14489e+02  -1.14487e+02 0.00000e+00 
1.26611e-04 1.16392e+02  -1.16390e+02 0.00000e+00 
1.27132e-04 1.18320e+02  -1.18318e+02 0.00000e+00 
1.27653e-04 1.20272e+02  -1.20270e+02 0.00000e+00 
1.28174e-04 1.22247e+02  -1.22245e+02 0.00000e+00 
1.28695e-04 1.24245e+02  -1.24243e+02 0.00000e+00 
1.29216e-04 1.26268e+02  -1.26266e+02 0.00000e+00 
1.29737e-04 1.28316e+02  -1.28314e+02 0.00000e+00 
1.30258e-04 1.30390e+02  -1.30388e+02 0.00000e+00 
