6.98214e-05 1.07677e+01  -1.07671e+01 0.00000e+00 
7.03424e-05 1.10928e+01  -1.10922e+01 0.00000e+00 
7.08635e-05 1.14251e+01  -1.14244e+01 0.00000e+00 
7.13845e-05 1.17645e+01  -1.17639e+01 0.00000e+00 
7.19055e-05 1.21117e+01  -1.21110e+01 0.00000e+00 
7.24265e-05 1.24666e+01  -1.24660e+01 0.00000e+00 
7.29476e-05 1.28292e+01  -1.28286e+01 0.00000e+00 
7.34686e-05 1.31997e+01  -1.31990e+01 0.00000e+00 
7.39896e-05 1.35780e+01  -1.35773e+01 0.00000e+00 
7.45106e-05 1.39643e+01  -1.39636e+01 0.00000e+00 
7.50317e-05 1.43591e+01  -1.43584e+01 0.00000e+00 
7.55527e-05 1.47621e+01  -1.47614e+01 0.00000e+00 
7.60737e-05 1.51735e+01  -1.51728e+01 0.00000e+00 
7.65947e-05 1.55934e+01  -1.55926e+01 0.00000e+00 
7.71158e-05 1.60218e+01  -1.60210e+01 0.00000e+00 
7.76368e-05 1.64591e+01  -1.64583e+01 0.00000e+00 
7.81578e-05 1.69054e+01  -1.69047e+01 0.00000e+00 
7.86788e-05 1.73608e+01  -1.73600e+01 0.00000e+00 
7.91998e-05 1.78252e+01  -1.78244e+01 0.00000e+00 
7.97209e-05 1.82988e+01  -1.82980e+01 0.00000e+00 
8.02419e-05 1.87816e+01  -1.87808e+01 0.00000e+00 
8.07629e-05 1.92739e+01  -1.92731e+01 0.00000e+00 
8.12839e-05 1.97761e+01  -1.97753e+01 0.00000e+00 
8.18049e-05 2.02882e+01  -2.02873e+01 0.00000e+00 
8.23260e-05 2.08101e+01  -2.08093e+01 0.00000e+00 
8.28470e-05 2.13418e+01  -2.13410e+01 0.00000e+00 
8.33680e-05 2.18834e+01  -2.18825e+01 0.00000e+00 
8.38890e-05 2.24353e+01  -2.24345e+01 0.00000e+00 
8.44100e-05 2.29978e+01  -2.29970e+01 0.00000e+00 
8.49310e-05 2.35710e+01  -2.35701e+01 0.00000e+00 
8.54520e-05 2.41549e+01  -2.41540e+01 0.00000e+00 
8.59731e-05 2.47492e+01  -2.47483e+01 0.00000e+00 
8.64941e-05 2.53543e+01  -2.53534e+01 0.00000e+00 
8.70151e-05 2.59705e+01  -2.59696e+01 0.00000e+00 
8.75361e-05 2.65981e+01  -2.65972e+01 0.00000e+00 
8.80571e-05 2.72372e+01  -2.72362e+01 0.00000e+00 
8.85781e-05 2.78875e+01  -2.78865e+01 0.00000e+00 
8.90992e-05 2.85491e+01  -2.85481e+01 0.00000e+00 
8.96202e-05 2.92224e+01  -2.92214e+01 0.00000e+00 
9.01412e-05 2.99079e+01  -2.99069e+01 0.00000e+00 
9.06622e-05 3.06055e+01  -3.06045e+01 0.00000e+00 
9.11832e-05 3.13152e+01  -3.13141e+01 0.00000e+00 
9.17042e-05 3.20367e+01  -3.20357e+01 0.00000e+00 
9.22252e-05 3.27705e+01  -3.27694e+01 0.00000e+00 
9.27462e-05 3.35171e+01  -3.35160e+01 0.00000e+00 
9.32672e-05 3.42768e+01  -3.42757e+01 0.00000e+00 
9.37883e-05 3.50493e+01  -3.50482e+01 0.00000e+00 
9.43093e-05 3.58346e+01  -3.58335e+01 0.00000e+00 
9.48303e-05 3.66326e+01  -3.66315e+01 0.00000e+00 
9.53513e-05 3.74437e+01  -3.74426e+01 0.00000e+00 
9.58723e-05 3.82687e+01  -3.82676e+01 0.00000e+00 
9.63933e-05 3.91075e+01  -3.91063e+01 0.00000e+00 
9.69143e-05 3.99599e+01  -3.99588e+01 0.00000e+00 
9.74353e-05 4.08261e+01  -4.08250e+01 0.00000e+00 
9.79563e-05 4.17060e+01  -4.17048e+01 0.00000e+00 
9.84773e-05 4.26000e+01  -4.25988e+01 0.00000e+00 
9.89983e-05 4.35085e+01  -4.35073e+01 0.00000e+00 
9.95193e-05 4.44316e+01  -4.44304e+01 0.00000e+00 
1.00040e-04 4.53693e+01  -4.53681e+01 0.00000e+00 
1.00561e-04 4.63217e+01  -4.63205e+01 0.00000e+00 
1.01082e-04 4.72888e+01  -4.72876e+01 0.00000e+00 
1.01603e-04 4.82711e+01  -4.82698e+01 0.00000e+00 
1.02124e-04 4.92687e+01  -4.92674e+01 0.00000e+00 
1.02645e-04 5.02816e+01  -5.02803e+01 0.00000e+00 
1.03166e-04 5.13102e+01  -5.13089e+01 0.00000e+00 
