7.55528e-05 2.95229e+01  -2.95215e+01 0.00000e+00 
7.60738e-05 3.03452e+01  -3.03438e+01 0.00000e+00 
7.65948e-05 3.11848e+01  -3.11833e+01 0.00000e+00 
7.71159e-05 3.20431e+01  -3.20416e+01 0.00000e+00 
7.76369e-05 3.29187e+01  -3.29172e+01 0.00000e+00 
7.81579e-05 3.38101e+01  -3.38086e+01 0.00000e+00 
7.86789e-05 3.47192e+01  -3.47177e+01 0.00000e+00 
7.91999e-05 3.56482e+01  -3.56467e+01 0.00000e+00 
7.97210e-05 3.65961e+01  -3.65946e+01 0.00000e+00 
8.02420e-05 3.75624e+01  -3.75608e+01 0.00000e+00 
8.07630e-05 3.85479e+01  -3.85463e+01 0.00000e+00 
8.12840e-05 3.95520e+01  -3.95504e+01 0.00000e+00 
8.18051e-05 4.05741e+01  -4.05725e+01 0.00000e+00 
8.23261e-05 4.16170e+01  -4.16153e+01 0.00000e+00 
8.28471e-05 4.26820e+01  -4.26803e+01 0.00000e+00 
8.33681e-05 4.37667e+01  -4.37650e+01 0.00000e+00 
8.38891e-05 4.48703e+01  -4.48685e+01 0.00000e+00 
8.44101e-05 4.59946e+01  -4.59928e+01 0.00000e+00 
8.49312e-05 4.71402e+01  -4.71385e+01 0.00000e+00 
8.54522e-05 4.83068e+01  -4.83050e+01 0.00000e+00 
8.59732e-05 4.94962e+01  -4.94943e+01 0.00000e+00 
8.64942e-05 5.07086e+01  -5.07067e+01 0.00000e+00 
8.70152e-05 5.19413e+01  -5.19394e+01 0.00000e+00 
8.75362e-05 5.31943e+01  -5.31924e+01 0.00000e+00 
8.80573e-05 5.44712e+01  -5.44693e+01 0.00000e+00 
8.85783e-05 5.57726e+01  -5.57707e+01 0.00000e+00 
8.90993e-05 5.70967e+01  -5.70948e+01 0.00000e+00 
8.96203e-05 5.84442e+01  -5.84422e+01 0.00000e+00 
9.01413e-05 5.98155e+01  -5.98135e+01 0.00000e+00 
9.06623e-05 6.12091e+01  -6.12071e+01 0.00000e+00 
9.11833e-05 6.26262e+01  -6.26241e+01 0.00000e+00 
9.17043e-05 6.40703e+01  -6.40683e+01 0.00000e+00 
9.22254e-05 6.55407e+01  -6.55386e+01 0.00000e+00 
9.27464e-05 6.70343e+01  -6.70322e+01 0.00000e+00 
9.32674e-05 6.85519e+01  -6.85498e+01 0.00000e+00 
9.37884e-05 7.00959e+01  -7.00937e+01 0.00000e+00 
9.43094e-05 7.16655e+01  -7.16634e+01 0.00000e+00 
9.48304e-05 7.32617e+01  -7.32595e+01 0.00000e+00 
9.53514e-05 7.48866e+01  -7.48843e+01 0.00000e+00 
9.58724e-05 7.65381e+01  -7.65358e+01 0.00000e+00 
9.63934e-05 7.82136e+01  -7.82113e+01 0.00000e+00 
9.69144e-05 7.99159e+01  -7.99136e+01 0.00000e+00 
9.74354e-05 8.16484e+01  -8.16461e+01 0.00000e+00 
9.79565e-05 8.34096e+01  -8.34073e+01 0.00000e+00 
9.84775e-05 8.51984e+01  -8.51961e+01 0.00000e+00 
9.89985e-05 8.70163e+01  -8.70139e+01 0.00000e+00 
9.95195e-05 8.88622e+01  -8.88597e+01 0.00000e+00 
1.00040e-04 9.07350e+01  -9.07326e+01 0.00000e+00 
1.00561e-04 9.26386e+01  -9.26361e+01 0.00000e+00 
1.01082e-04 9.45753e+01  -9.45728e+01 0.00000e+00 
1.01603e-04 9.65417e+01  -9.65391e+01 0.00000e+00 
1.02124e-04 9.85358e+01  -9.85333e+01 0.00000e+00 
1.02645e-04 1.00561e+02  -1.00558e+02 0.00000e+00 
1.03167e-04 1.02617e+02  -1.02614e+02 0.00000e+00 
1.03688e-04 1.04704e+02  -1.04702e+02 0.00000e+00 
1.04209e-04 1.06825e+02  -1.06822e+02 0.00000e+00 
1.04730e-04 1.08980e+02  -1.08977e+02 0.00000e+00 
1.05251e-04 1.11164e+02  -1.11162e+02 0.00000e+00 
1.05772e-04 1.13379e+02  -1.13376e+02 0.00000e+00 
1.06293e-04 1.15627e+02  -1.15625e+02 0.00000e+00 
