4.52696e-05 1.34023e+01  -1.34019e+01 0.00000e+00 
4.56100e-05 1.36684e+01  -1.36681e+01 0.00000e+00 
4.59503e-05 1.39386e+01  -1.39382e+01 0.00000e+00 
4.62907e-05 1.42128e+01  -1.42124e+01 0.00000e+00 
4.66310e-05 1.44910e+01  -1.44906e+01 0.00000e+00 
4.69714e-05 1.47733e+01  -1.47730e+01 0.00000e+00 
4.73118e-05 1.50597e+01  -1.50593e+01 0.00000e+00 
4.76521e-05 1.53502e+01  -1.53498e+01 0.00000e+00 
4.79925e-05 1.56447e+01  -1.56443e+01 0.00000e+00 
4.83329e-05 1.59435e+01  -1.59431e+01 0.00000e+00 
4.86732e-05 1.62466e+01  -1.62462e+01 0.00000e+00 
4.90136e-05 1.65540e+01  -1.65536e+01 0.00000e+00 
4.93539e-05 1.68660e+01  -1.68655e+01 0.00000e+00 
4.96943e-05 1.71823e+01  -1.71819e+01 0.00000e+00 
5.00346e-05 1.75032e+01  -1.75028e+01 0.00000e+00 
5.03750e-05 1.78285e+01  -1.78281e+01 0.00000e+00 
5.07154e-05 1.81583e+01  -1.81579e+01 0.00000e+00 
5.10557e-05 1.84927e+01  -1.84922e+01 0.00000e+00 
5.13961e-05 1.88316e+01  -1.88312e+01 0.00000e+00 
5.17364e-05 1.91753e+01  -1.91749e+01 0.00000e+00 
5.20768e-05 1.95239e+01  -1.95234e+01 0.00000e+00 
5.24172e-05 1.98772e+01  -1.98768e+01 0.00000e+00 
5.27575e-05 2.02355e+01  -2.02351e+01 0.00000e+00 
5.30979e-05 2.05987e+01  -2.05983e+01 0.00000e+00 
5.34382e-05 2.09669e+01  -2.09664e+01 0.00000e+00 
5.37786e-05 2.13399e+01  -2.13394e+01 0.00000e+00 
5.41189e-05 2.17179e+01  -2.17174e+01 0.00000e+00 
5.44593e-05 2.21010e+01  -2.21005e+01 0.00000e+00 
5.47997e-05 2.24893e+01  -2.24888e+01 0.00000e+00 
5.51400e-05 2.28828e+01  -2.28823e+01 0.00000e+00 
5.54804e-05 2.32817e+01  -2.32812e+01 0.00000e+00 
5.58207e-05 2.36859e+01  -2.36854e+01 0.00000e+00 
5.61611e-05 2.40955e+01  -2.40950e+01 0.00000e+00 
5.65014e-05 2.45105e+01  -2.45100e+01 0.00000e+00 
5.68418e-05 2.49308e+01  -2.49303e+01 0.00000e+00 
5.71821e-05 2.53566e+01  -2.53561e+01 0.00000e+00 
5.75225e-05 2.57880e+01  -2.57875e+01 0.00000e+00 
5.78629e-05 2.62250e+01  -2.62245e+01 0.00000e+00 
5.82032e-05 2.66678e+01  -2.66672e+01 0.00000e+00 
5.85436e-05 2.71163e+01  -2.71158e+01 0.00000e+00 
5.88839e-05 2.75708e+01  -2.75702e+01 0.00000e+00 
5.92243e-05 2.80311e+01  -2.80305e+01 0.00000e+00 
5.95646e-05 2.84972e+01  -2.84966e+01 0.00000e+00 
5.99050e-05 2.89692e+01  -2.89686e+01 0.00000e+00 
6.02453e-05 2.94471e+01  -2.94466e+01 0.00000e+00 
6.05857e-05 2.99311e+01  -2.99306e+01 0.00000e+00 
6.09260e-05 3.04213e+01  -3.04208e+01 0.00000e+00 
6.12664e-05 3.09177e+01  -3.09172e+01 0.00000e+00 
6.16067e-05 3.14205e+01  -3.14199e+01 0.00000e+00 
6.19471e-05 3.19296e+01  -3.19290e+01 0.00000e+00 
6.22874e-05 3.24451e+01  -3.24445e+01 0.00000e+00 
6.26278e-05 3.29669e+01  -3.29663e+01 0.00000e+00 
6.29682e-05 3.34951e+01  -3.34945e+01 0.00000e+00 
6.33085e-05 3.40298e+01  -3.40292e+01 0.00000e+00 
6.36489e-05 3.45711e+01  -3.45705e+01 0.00000e+00 
6.39892e-05 3.51190e+01  -3.51184e+01 0.00000e+00 
6.43296e-05 3.56738e+01  -3.56732e+01 0.00000e+00 
6.46699e-05 3.62354e+01  -3.62348e+01 0.00000e+00 
6.50103e-05 3.68039e+01  -3.68033e+01 0.00000e+00 
6.53506e-05 3.73793e+01  -3.73787e+01 0.00000e+00 
6.56910e-05 3.79616e+01  -3.79610e+01 0.00000e+00 
6.60313e-05 3.85509e+01  -3.85502e+01 0.00000e+00 
