4.60115e-03 1.83768e+08  -1.83762e+08 0.00000e+00 
4.62837e-03 1.88152e+08  -1.88145e+08 0.00000e+00 
4.65558e-03 1.92612e+08  -1.92605e+08 0.00000e+00 
4.68280e-03 1.97150e+08  -1.97143e+08 0.00000e+00 
4.71002e-03 2.01767e+08  -2.01760e+08 0.00000e+00 
4.73724e-03 2.06463e+08  -2.06457e+08 0.00000e+00 
4.76446e-03 2.11241e+08  -2.11234e+08 0.00000e+00 
4.79167e-03 2.16100e+08  -2.16093e+08 0.00000e+00 
4.81889e-03 2.21042e+08  -2.21035e+08 0.00000e+00 
4.84611e-03 2.26068e+08  -2.26061e+08 0.00000e+00 
4.87333e-03 2.31180e+08  -2.31173e+08 0.00000e+00 
4.90054e-03 2.36378e+08  -2.36371e+08 0.00000e+00 
4.92776e-03 2.41664e+08  -2.41657e+08 0.00000e+00 
4.95498e-03 2.47039e+08  -2.47032e+08 0.00000e+00 
4.98219e-03 2.52504e+08  -2.52497e+08 0.00000e+00 
5.00941e-03 2.58060e+08  -2.58053e+08 0.00000e+00 
5.03663e-03 2.63708e+08  -2.63701e+08 0.00000e+00 
5.06385e-03 2.69449e+08  -2.69442e+08 0.00000e+00 
5.09106e-03 2.75284e+08  -2.75276e+08 0.00000e+00 
5.11828e-03 2.81214e+08  -2.81206e+08 0.00000e+00 
5.14549e-03 2.87239e+08  -2.87231e+08 0.00000e+00 
5.17271e-03 2.93360e+08  -2.93351e+08 0.00000e+00 
5.19993e-03 2.99578e+08  -2.99569e+08 0.00000e+00 
5.22714e-03 3.05893e+08  -3.05885e+08 0.00000e+00 
5.25436e-03 3.12308e+08  -3.12299e+08 0.00000e+00 
5.28158e-03 3.18821e+08  -3.18813e+08 0.00000e+00 
5.30879e-03 3.25435e+08  -3.25427e+08 0.00000e+00 
5.33601e-03 3.32151e+08  -3.32142e+08 0.00000e+00 
5.36322e-03 3.38969e+08  -3.38960e+08 0.00000e+00 
5.39044e-03 3.45891e+08  -3.45882e+08 0.00000e+00 
5.41765e-03 3.52918e+08  -3.52909e+08 0.00000e+00 
5.44487e-03 3.60050e+08  -3.60041e+08 0.00000e+00 
5.47209e-03 3.67291e+08  -3.67282e+08 0.00000e+00 
5.49930e-03 3.74640e+08  -3.74630e+08 0.00000e+00 
5.52652e-03 3.82099e+08  -3.82089e+08 0.00000e+00 
5.55373e-03 3.89669e+08  -3.89660e+08 0.00000e+00 
5.58095e-03 3.97352e+08  -3.97343e+08 0.00000e+00 
5.60816e-03 4.05149e+08  -4.05139e+08 0.00000e+00 
5.63538e-03 4.13061e+08  -4.13051e+08 0.00000e+00 
5.66259e-03 4.21089e+08  -4.21079e+08 0.00000e+00 
5.68981e-03 4.29234e+08  -4.29224e+08 0.00000e+00 
5.71702e-03 4.37497e+08  -4.37487e+08 0.00000e+00 
5.74424e-03 4.45879e+08  -4.45869e+08 0.00000e+00 
5.77145e-03 4.54381e+08  -4.54371e+08 0.00000e+00 
5.79866e-03 4.63004e+08  -4.62994e+08 0.00000e+00 
