1.09948e-04 5.29910e-02  -5.29898e-02 0.00000e+00 
1.10469e-04 5.40030e-02  -5.40018e-02 0.00000e+00 
1.10991e-04 5.50291e-02  -5.50279e-02 0.00000e+00 
1.11512e-04 5.60695e-02  -5.60683e-02 0.00000e+00 
1.12033e-04 5.71245e-02  -5.71233e-02 0.00000e+00 
1.12554e-04 5.81947e-02  -5.81934e-02 0.00000e+00 
1.13075e-04 5.92803e-02  -5.92791e-02 0.00000e+00 
1.13596e-04 6.03810e-02  -6.03797e-02 0.00000e+00 
1.14117e-04 6.14963e-02  -6.14950e-02 0.00000e+00 
1.14638e-04 6.26268e-02  -6.26255e-02 0.00000e+00 
1.15159e-04 6.37730e-02  -6.37717e-02 0.00000e+00 
1.15680e-04 6.49352e-02  -6.49339e-02 0.00000e+00 
1.16201e-04 6.61135e-02  -6.61121e-02 0.00000e+00 
1.16722e-04 6.73077e-02  -6.73064e-02 0.00000e+00 
1.17244e-04 6.85175e-02  -6.85162e-02 0.00000e+00 
1.17765e-04 6.97431e-02  -6.97418e-02 0.00000e+00 
1.18286e-04 7.09855e-02  -7.09841e-02 0.00000e+00 
1.18807e-04 7.22449e-02  -7.22435e-02 0.00000e+00 
1.19328e-04 7.35211e-02  -7.35197e-02 0.00000e+00 
1.19849e-04 7.48139e-02  -7.48125e-02 0.00000e+00 
1.20370e-04 7.61233e-02  -7.61219e-02 0.00000e+00 
1.20891e-04 7.74496e-02  -7.74481e-02 0.00000e+00 
1.21412e-04 7.87932e-02  -7.87918e-02 0.00000e+00 
1.21933e-04 8.01550e-02  -8.01535e-02 0.00000e+00 
1.22454e-04 8.15345e-02  -8.15330e-02 0.00000e+00 
1.22975e-04 8.29312e-02  -8.29298e-02 0.00000e+00 
1.23496e-04 8.43453e-02  -8.43438e-02 0.00000e+00 
1.24018e-04 8.57775e-02  -8.57760e-02 0.00000e+00 
1.24539e-04 8.72282e-02  -8.72266e-02 0.00000e+00 
1.25060e-04 8.86975e-02  -8.86959e-02 0.00000e+00 
1.25581e-04 9.01855e-02  -9.01840e-02 0.00000e+00 
1.26102e-04 9.16918e-02  -9.16903e-02 0.00000e+00 
1.26623e-04 9.32163e-02  -9.32147e-02 0.00000e+00 
1.27144e-04 9.47596e-02  -9.47580e-02 0.00000e+00 
1.27665e-04 9.63227e-02  -9.63211e-02 0.00000e+00 
1.28186e-04 9.79055e-02  -9.79038e-02 0.00000e+00 
1.28707e-04 9.95074e-02  -9.95058e-02 0.00000e+00 
1.29228e-04 1.01129e-01  -1.01127e-01 0.00000e+00 
1.29749e-04 1.02769e-01  -1.02768e-01 0.00000e+00 
1.30271e-04 1.04430e-01  -1.04428e-01 0.00000e+00 
1.30792e-04 1.06111e-01  -1.06109e-01 0.00000e+00 
1.31313e-04 1.07812e-01  -1.07811e-01 0.00000e+00 
1.31834e-04 1.09534e-01  -1.09532e-01 0.00000e+00 
1.32355e-04 1.11276e-01  -1.11274e-01 0.00000e+00 
1.32876e-04 1.13038e-01  -1.13036e-01 0.00000e+00 
1.33397e-04 1.14821e-01  -1.14820e-01 0.00000e+00 
1.33918e-04 1.16626e-01  -1.16624e-01 0.00000e+00 
1.34439e-04 1.18452e-01  -1.18451e-01 0.00000e+00 
1.34960e-04 1.20300e-01  -1.20298e-01 0.00000e+00 
1.35481e-04 1.22168e-01  -1.22167e-01 0.00000e+00 
1.36002e-04 1.24058e-01  -1.24056e-01 0.00000e+00 
1.36524e-04 1.25970e-01  -1.25968e-01 0.00000e+00 
1.37045e-04 1.27905e-01  -1.27903e-01 0.00000e+00 
1.37566e-04 1.29861e-01  -1.29860e-01 0.00000e+00 
1.38087e-04 1.31840e-01  -1.31839e-01 0.00000e+00 
1.38608e-04 1.33841e-01  -1.33840e-01 0.00000e+00 
