
                             A:A1 PI: HOST-1 N  A:A2 PI: HOST-1 N  ALLAE Whole Model  ALLIE Whole Model  ALLKE Whole Model  ALLSE Whole Model  ALLWK Whole Model                     ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE22 PI: HOST-  RF:RF1 PI: HOST-1  RF:RF2 PI: HOST-1  S:S11 PI: HOST-1   S:S22 PI: HOST-1   U:U1 PI: HOST-1 N  U:U2 PI: HOST-1 N
                  X                 : 1                : 1                 -1                 -1                 -1                 -1                 -1          DT Whole Model-1         l-1          1 E: 1 Centroid    1 E: 1 Centroid          N: 1               N: 1          E: 1 Centroid      E: 1 Centroid           : 1                : 1       
                3.48315E-03        5.94547E+03       -4.67955E+03      231.051E-06        128.518E+06        937.533E+03        128.518E+06        129.553E+06        112.36E-06           3.55938E+03      -10.8033E-03        35.6531E-03         0.                 0.               -28.7933E+06         7.13092E+09      -10.7452E-03        36.2963E-03 
                3.59551E-03       21.2135E+03       -40.8584E+03      -461.84E-06         144.041E+06        680.063E+03        144.041E+06        144.806E+06        112.36E-06          19.0917E+03       -11.5801E-03        37.7304E-03         0.                 0.               -88.0352E+06         7.51514E+09      -11.5133E-03        38.4511E-03 
                3.70787E-03       24.2511E+03       -59.194E+03        809.108E-06        156.416E+06        284.565E+03        156.416E+06        156.777E+06        112.36E-06          32.1878E+03       -12.0864E-03        39.3074E-03         0.                 0.              -100.061E+06          7.82565E+09      -12.0137E-03        40.0902E-03 
                3.82022E-03       18.1573E+03       -47.0574E+03      -230.13E-06         163.342E+06         56.5781E+03       163.342E+06        163.489E+06        112.36E-06          21.0818E+03       -12.283E-03         40.1644E-03         0.                 0.               -75.4724E+06         8.01195E+09      -12.2078E-03        40.9819E-03 
                3.93258E-03        5.8302E+03       -10.3949E+03       144.702E-06        165.677E+06          9.91193E+03      165.677E+06        165.797E+06        112.36E-06           4.48015E+03      -12.2475E-03        40.4503E-03         0.                 0.               -27.1968E+06         8.09665E+09      -12.1728E-03        41.2795E-03 
                4.04494E-03      -10.8116E+03        29.8042E+03      -318.119E-06        166.999E+06         19.9267E+03       166.999E+06        167.125E+06        112.36E-06          10.3129E+03       -12.1375E-03        40.6101E-03         0.                 0.                35.5736E+06         8.16416E+09      -12.0641E-03        41.446E-03  
                4.1573E-03       -24.6682E+03        53.7924E+03       322.747E-09        171.355E+06        130.64E+03         171.355E+06        171.576E+06        112.36E-06          28.6931E+03       -12.1656E-03        41.1311E-03         0.                 0.                86.8459E+06         8.29783E+09      -12.0919E-03        41.9886E-03 
                4.26966E-03      -25.8954E+03        53.2147E+03      -694.873E-06        181.327E+06        452.865E+03        181.327E+06        181.873E+06        112.36E-06          29.124E+03        -12.5091E-03        42.303E-03          0.                 0.                91.1283E+06         8.53596E+09      -12.4312E-03        43.2104E-03 
                4.38202E-03      -12.5468E+03        29.7002E+03       -57.8173E-06       197.301E+06        840.581E+03        197.301E+06        198.256E+06        112.36E-06          10.9765E+03       -13.1839E-03        44.1166E-03         0.                 0.                40.835E+06          8.87269E+09      -13.0973E-03        45.1041E-03 
                4.49438E-03        6.33451E+03       -7.93469E+03     -579.488E-06        217.318E+06        950.338E+03        217.318E+06        218.392E+06        112.36E-06           4.80035E+03      -14.0198E-03        46.2848E-03         0.                 0.               -30.996E+06          9.26913E+09      -13.9219E-03        47.3726E-03 
                4.60674E-03       19.8862E+03       -43.5804E+03        87.1647E-06       237.342E+06        672.042E+03        237.342E+06        238.127E+06        112.36E-06          20.7391E+03       -14.7752E-03        48.3529E-03         0.                 0.               -82.9442E+06         9.65692E+09      -14.6665E-03        49.541E-03  
                4.7191E-03        23.7213E+03       -58.7815E+03      -348.077E-06        252.836E+06        276.75E+03         252.836E+06        253.218E+06        112.36E-06          32.4808E+03       -15.2761E-03        49.8936E-03         0.                 0.               -97.0454E+06         9.95969E+09      -15.1601E-03        51.1592E-03 
                4.83146E-03       18.3073E+03       -44.6033E+03       319.446E-06        261.408E+06         56.5037E+03       261.408E+06        261.585E+06        112.36E-06          20.6898E+03       -15.4732E-03        50.7267E-03         0.                 0.               -75.1793E+06        10.1398E+09       -15.3541E-03        52.0353E-03 
                4.94382E-03        5.02198E+03       -8.86338E+03        1.85866E-03      264.495E+06         11.6674E+03       264.495E+06        264.645E+06        112.36E-06           5.09859E+03      -15.4355E-03        51.0242E-03         0.                 0.               -24.2077E+06        10.228E+09        -15.3171E-03        52.3483E-03 
                5.05618E-03      -12.0446E+03        29.7808E+03       413.267E-09        266.499E+06         23.5701E+03       266.499E+06        266.656E+06        112.36E-06          11.5478E+03       -15.3335E-03        51.2153E-03         0.                 0.                39.69E+06          10.3019E+09       -15.2166E-03        52.5494E-03 
                5.16854E-03      -24.2948E+03        53.787E+03       -639.282E-06        272.295E+06        142.756E+03        272.295E+06        272.557E+06        112.36E-06          29.3692E+03       -15.386E-03         51.7634E-03         0.                 0.                85.0476E+06        10.4375E+09       -15.2682E-03        53.1265E-03 
                5.2809E-03       -24.0558E+03        53.7012E+03       610.982E-06        285.087E+06        473.412E+03        285.087E+06        285.682E+06        112.36E-06          29.2238E+03       -15.75E-03          52.9555E-03         0.                 0.                83.7717E+06        10.677E+09        -15.6265E-03        54.3827E-03 
                5.39326E-03      -11.5737E+03        29.5826E+03      -639.553E-06        305.322E+06        861.663E+03        305.322E+06        306.327E+06        112.36E-06          11.5689E+03       -16.4228E-03        54.7881E-03         0.                 0.                36.4716E+06        11.0205E+09       -16.2886E-03        56.3168E-03 
                5.50562E-03        5.48272E+03       -8.74811E+03      582.517E-06        330.356E+06        968.404E+03        330.356E+06        331.477E+06        112.36E-06           5.65121E+03      -17.2446E-03        56.9702E-03         0.                 0.               -28.2451E+06        11.4253E+09       -17.0967E-03        58.6243E-03 
                5.61798E-03       18.7393E+03       -43.7663E+03       132.641E-09        355.086E+06        688.879E+03        355.086E+06        355.917E+06        112.36E-06          21.1925E+03       -17.9966E-03        59.0435E-03         0.                 0.               -78.2663E+06        11.8166E+09       -17.8356E-03        60.8214E-03 
                5.73034E-03       23.5213E+03       -58.0154E+03       641.44E-06         374.155E+06        291.103E+03        374.155E+06        374.58E+06         112.36E-06          32.7572E+03       -18.5081E-03        60.5927E-03         0.                 0.               -95.4449E+06        12.1201E+09       -18.3379E-03        62.466E-03  
                5.8427E-03        18.4206E+03       -44.4067E+03      -874.177E-06        384.924E+06         64.1187E+03       384.924E+06        385.137E+06        112.36E-06          21.5437E+03       -18.7174E-03        61.4508E-03         0.                 0.               -75.1114E+06        12.3046E+09       -18.5433E-03        63.3782E-03 
                5.95506E-03        4.86051E+03      -10.1767E+03       145.914E-06        389.104E+06         13.7812E+03       389.104E+06        389.284E+06        112.36E-06           6.18361E+03      -18.6897E-03        61.7814E-03         0.                 0.               -23.6605E+06        12.3994E+09       -18.5161E-03        63.7297E-03 
                6.06742E-03      -11.732E+03         28.0902E+03       -58.2931E-06       391.778E+06         24.8234E+03       391.778E+06        391.966E+06        112.36E-06          11.7768E+03       -18.5996E-03        61.991E-03          0.                 0.                38.2381E+06        12.4755E+09       -18.4276E-03        63.9528E-03 
