
                             LAE Whole Model VD Whole Model  ETOTAL Whole Mode  
                  X                -2             -2                l-2         
                9.43182E-03          NoValue        NoValue            NoValue  
                9.4382E-03      -1.15943E-03   66.6921E+03        49.0541E+03   
                9.54545E-03          NoValue        NoValue            NoValue  
                9.55056E-03    869.988E-06     67.3371E+03        49.0816E+03   
                9.65909E-03          NoValue        NoValue            NoValue  
                9.66292E-03   -463.923E-06     68.0178E+03        49.0562E+03   
                9.77273E-03          NoValue        NoValue            NoValue  
                9.77528E-03    928.474E-06     68.6926E+03        49.0728E+03   
                9.88636E-03          NoValue        NoValue            NoValue  
                9.88764E-03      1.39318E-03   69.3306E+03        49.0783E+03   
               10.E-03        -609.248E-06     69.9534E+03        49.0776E+03   




