5.27742e-05 9.73102e-07  -9.31659e-07 1.00496e-16 
5.31801e-05 1.42427e-06  -1.38930e-06 -1.00426e-16 
5.35861e-05 1.97871e-06  -1.96681e-06 1.01779e-16 
5.39920e-05 2.23753e-06  -2.23604e-06 -1.01350e-16 
5.43979e-05 2.00096e-06  -1.98246e-06 1.02459e-16 
5.48039e-05 1.48822e-06  -1.44870e-06 -1.02007e-16 
5.52098e-05 1.04939e-06  -1.01114e-06 1.03380e-16 
5.56158e-05 8.00352e-07  -7.78525e-07 -1.03394e-16 
5.60217e-05 6.53127e-07  -6.41231e-07 1.05309e-16 
5.64276e-05 5.52217e-07  -5.39274e-07 -1.05755e-16 
5.68336e-05 5.37995e-07  -5.18393e-07 1.07884e-16 
5.72395e-05 6.86560e-07  -6.55832e-07 -1.08250e-16 
5.76454e-05 1.07683e-06  -1.03842e-06 1.10036e-16 
5.80514e-05 1.68447e-06  -1.65553e-06 -1.09912e-16 
5.84573e-05 2.24453e-06  -2.23552e-06 1.10985e-16 
5.88632e-05 2.38722e-06  -2.38242e-06 -1.10516e-16 
5.92692e-05 2.00779e-06  -1.98435e-06 1.11127e-16 
5.96751e-05 1.38156e-06  -1.34111e-06 -1.11024e-16 
6.00810e-05 8.55357e-07  -8.19683e-07 1.11945e-16 
6.04870e-05 5.48660e-07  -5.30649e-07 -1.12848e-16 
6.08929e-05 3.98719e-07  -3.91349e-07 1.14314e-16 
6.12989e-05 3.66002e-07  -3.53919e-07 -1.15922e-16 
6.17048e-05 5.19107e-07  -4.91975e-07 1.17150e-16 
6.21107e-05 9.55880e-07  -9.17349e-07 -1.18478e-16 
6.25167e-05 1.63395e-06  -1.60136e-06 1.18632e-16 
6.29226e-05 2.26015e-06  -2.24619e-06 -1.19330e-16 
6.33285e-05 2.44490e-06  -2.43970e-06 1.18687e-16 
6.37345e-05 2.05636e-06  -2.03938e-06 -1.19578e-16 
6.41404e-05 1.36332e-06  -1.33033e-06 1.19162e-16 
6.45463e-05 7.75059e-07  -7.40044e-07 -1.21052e-16 
6.49522e-05 5.13691e-07  -4.88391e-07 1.21122e-16 
6.53582e-05 5.51451e-07  -5.36801e-07 -1.23676e-16 
6.57641e-05 7.29298e-07  -7.20174e-07 1.23515e-16 
6.61700e-05 8.89527e-07  -8.75131e-07 -1.26010e-16 
6.65760e-05 1.00831e-06  -9.77686e-07 1.25171e-16 
6.69819e-05 1.21917e-06  -1.17868e-06 -1.27551e-16 
6.73878e-05 1.59607e-06  -1.56877e-06 1.26253e-16 
6.77938e-05 1.94515e-06  -1.94017e-06 -1.28863e-16 
6.81997e-05 1.97474e-06  -1.97158e-06 1.27200e-16 
6.86056e-05 1.65872e-06  -1.63510e-06 -1.30145e-16 
6.90116e-05 1.26308e-06  -1.22407e-06 1.28109e-16 
6.94175e-05 1.01355e-06  -9.80187e-07 -1.31468e-16 
6.98234e-05 8.93349e-07  -8.75670e-07 1.29284e-16 
7.02293e-05 7.75122e-07  -7.67292e-07 -1.33380e-16 
7.06353e-05 6.20799e-07  -6.10935e-07 1.31268e-16 
7.10412e-05 5.39177e-07  -5.16550e-07 -1.36039e-16 
7.14471e-05 7.16664e-07  -6.80620e-07 1.33562e-16 
7.18531e-05 1.24212e-06  -1.20774e-06 -1.38329e-16 
7.22590e-05 1.92335e-06  -1.90648e-06 1.34821e-16 
7.26649e-05 2.35122e-06  -2.34707e-06 -1.39266e-16 
7.30708e-05 2.24480e-06  -2.23345e-06 1.34929e-16 
7.34768e-05 1.69867e-06  -1.67047e-06 -1.39738e-16 
7.38827e-05 1.05559e-06  -1.01968e-06 1.35462e-16 
7.42886e-05 6.07235e-07  -5.78076e-07 -1.41382e-16 
7.46945e-05 4.37820e-07  -4.22741e-07 1.37469e-16 
7.51005e-05 4.60853e-07  -4.55345e-07 -1.44281e-16 
7.55064e-05 5.66094e-07  -5.54408e-07 1.40083e-16 
7.59123e-05 7.72173e-07  -7.41663e-07 -1.46978e-16 
7.63182e-05 1.19614e-06  -1.15623e-06 1.41789e-16 
7.67242e-05 1.80313e-06  -1.77733e-06 -1.48395e-16 
7.71301e-05 2.27835e-06  -2.27262e-06 1.42243e-16 
7.75360e-05 2.29088e-06  -2.28543e-06 -1.48962e-16 
7.79419e-05 1.84055e-06  -1.81808e-06 1.42463e-16 
7.83479e-05 1.23008e-06  -1.19574e-06 -1.49951e-16 
7.87538e-05 7.53966e-07  -7.22623e-07 1.43614e-16 
7.91597e-05 5.18819e-07  -4.98171e-07 -1.52123e-16 
7.95656e-05 4.85653e-07  -4.75343e-07 1.45862e-16 
7.99716e-05 5.61951e-07  -5.54300e-07 -1.54996e-16 
8.03775e-05 6.98784e-07  -6.79710e-07 1.48192e-16 
8.07834e-05 9.65255e-07  -9.29453e-07 -1.57312e-16 
8.11893e-05 1.44238e-06  -1.40593e-06 1.49492e-16 
8.15952e-05 1.99364e-06  -1.97624e-06 -1.58468e-16 
8.20012e-05 2.27456e-06  -2.27229e-06 1.49867e-16 
8.24071e-05 2.06730e-06  -2.05806e-06 -1.59214e-16 
8.28130e-05 1.51928e-06  -1.49159e-06 1.50416e-16 
8.32189e-05 9.84857e-07  -9.48104e-07 -1.60599e-16 
8.36248e-05 7.05052e-07  -6.75117e-07 1.51812e-16 
8.40308e-05 6.70566e-07  -6.55709e-07 -1.62790e-16 
8.44367e-05 7.11810e-07  -7.07308e-07 1.53791e-16 
8.48426e-05 6.95814e-07  -6.85543e-07 -1.65284e-16 
8.52485e-05 6.89328e-07  -6.60546e-07 1.55791e-16 
8.56544e-05 9.02922e-07  -8.63910e-07 -1.67551e-16 
8.60604e-05 1.40819e-06  -1.38070e-06 1.57317e-16 
8.64663e-05 1.96711e-06  -1.95845e-06 -1.69123e-16 
8.68722e-05 2.23197e-06  -2.22693e-06 1.58003e-16 
8.72781e-05 2.06824e-06  -2.05067e-06 -1.69910e-16 
8.76840e-05 1.61542e-06  -1.58497e-06 1.58225e-16 
8.80900e-05 1.10854e-06  -1.07538e-06 -1.70821e-16 
8.84959e-05 7.18928e-07  -6.94062e-07 1.59247e-16 
8.89018e-05 4.97215e-07  -4.86452e-07 -1.73043e-16 
