Global Internal Force:
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 

Global Residual Force:
-1.2669E-01  3.3783E-02 -8.6840E-01 
 6.0741E-01  2.7508E-01 -1.4520E+00 
 3.6656E-04  1.3747E-03 -9.2552E-01 
-3.8978E-01  5.4100E-01 -1.4520E+00 
 1.2669E-01 -3.3783E-02 -8.6840E-01 
-6.0741E-01 -2.7508E-01 -1.4520E+00 
-3.6656E-04 -1.3747E-03 -9.2552E-01 
 3.8978E-01 -5.4100E-01 -1.4520E+00 
 5.8709E-10 -4.3072E-10 -2.7686E+00 
 8.5523E-01 -2.2806E-01 -6.1133E+00 
 4.4854E+00  2.3466E+00 -1.3011E+01 
 3.3966E-01  1.2737E+00 -6.1857E+00 
-2.7214E+00  4.2684E+00 -1.3011E+01 
-8.5523E-01  2.2806E-01 -6.1133E+00 
-4.4854E+00 -2.3466E+00 -1.3011E+01 
-3.3966E-01 -1.2737E+00 -6.1857E+00 
3
Global Internal Force:
 1.2445E+00 -3.3187E-01 -3.1534E+00 
 1.7175E+00  1.1093E+00 -5.6745E+00 
 2.6453E-01  9.9199E-01 -3.0963E+00 
-9.3707E-01  1.8172E+00 -5.6745E+00 
-1.2445E+00  3.3187E-01 -3.1534E+00 
-1.7175E+00 -1.1093E+00 -5.6745E+00 
-2.6453E-01 -9.9199E-01 -3.0963E+00 
 9.3707E-01 -1.8172E+00 -5.6745E+00 
-1.6023E-10 -5.5831E-12 -1.1088E+01 
-3.4456E+00  9.1884E-01 -5.0291E+00 
 2.0506E+00  1.4345E+00 -9.2499E+00 
-1.0675E+00 -4.0030E+00 -5.0342E+00 
-1.0641E+00  2.2651E+00 -9.2499E+00 
 3.4456E+00 -9.1884E-01 -5.0291E+00 
-2.0506E+00 -1.4345E+00 -9.2499E+00 
 1.0675E+00  4.0030E+00 -5.0342E+00 

Global Reaction Force:
 0.0000E+00  0.0000E+00 -3.1534E+00 
 0.0000E+00  0.0000E+00 -5.6745E+00 
 0.0000E+00  0.0000E+00 -3.0963E+00 
 0.0000E+00  0.0000E+00 -5.6745E+00 
 0.0000E+00  0.0000E+00 -3.1534E+00 
 0.0000E+00  0.0000E+00 -5.6745E+00 
 0.0000E+00  0.0000E+00 -3.0963E+00 
 0.0000E+00  0.0000E+00 -5.6745E+00 
 0.0000E+00  0.0000E+00 -1.1088E+01 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 

Global Residual Force:
 1.2445E+00 -3.3187E-01 -3.1534E+00 
 1.7175E+00  1.1093E+00 -5.6745E+00 
 2.6453E-01  9.9199E-01 -3.0963E+00 
-9.3707E-01  1.8172E+00 -5.6745E+00 
-1.2445E+00  3.3187E-01 -3.1534E+00 
-1.7175E+00 -1.1093E+00 -5.6745E+00 
-2.6453E-01 -9.9199E-01 -3.0963E+00 
 9.3707E-01 -1.8172E+00 -5.6745E+00 
-1.6023E-10 -5.5831E-12 -1.1088E+01 
-3.4456E+00  9.1884E-01 -5.0291E+00 
 2.0506E+00  1.4345E+00 -9.2499E+00 
-1.0675E+00 -4.0030E+00 -5.0342E+00 
-1.0641E+00  2.2651E+00 -9.2499E+00 
 3.4456E+00 -9.1884E-01 -5.0291E+00 
-2.0506E+00 -1.4345E+00 -9.2499E+00 
 1.0675E+00  4.0030E+00 -5.0342E+00 
4
Global Internal Force:
 3.0219E+00 -8.0584E-01 -6.0590E+00 
 2.5274E+00  1.6333E+00 -1.2156E+01 
 7.2575E-01  2.7216E+00 -5.9391E+00 
-1.3786E+00  2.6749E+00 -1.2156E+01 
-3.0219E+00  8.0584E-01 -6.0590E+00 
-2.5274E+00 -1.6333E+00 -1.2156E+01 
-7.2575E-01 -2.7216E+00 -5.9391E+00 
 1.3786E+00 -2.6749E+00 -1.2156E+01 
 1.3523E-11  6.8715E-10 -2.4495E+01 
-1.8588E+00  4.9568E-01 -2.1237E+00 
-1.0270E+00  6.8827E-03 -3.6298E+00 
-7.7955E-01 -2.9233E+00 -1.9506E+00 
 8.9402E-01 -5.0538E-01 -3.6298E+00 
 1.8588E+00 -4.9568E-01 -2.1237E+00 
 1.0270E+00 -6.8827E-03 -3.6298E+00 
 7.7955E-01  2.9233E+00 -1.9506E+00 

Global Reaction Force:
 0.0000E+00  0.0000E+00 -6.0590E+00 
 0.0000E+00  0.0000E+00 -1.2156E+01 
 0.0000E+00  0.0000E+00 -5.9391E+00 
 0.0000E+00  0.0000E+00 -1.2156E+01 
 0.0000E+00  0.0000E+00 -6.0590E+00 
 0.0000E+00  0.0000E+00 -1.2156E+01 
 0.0000E+00  0.0000E+00 -5.9391E+00 
 0.0000E+00  0.0000E+00 -1.2156E+01 
 0.0000E+00  0.0000E+00 -2.4495E+01 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 

Global Residual Force:
