
                             A:A1 PI: HOST-1 N  A:A2 PI: HOST-1 N  ALLAE Whole Model  ALLIE Whole Model  ALLKE Whole Model  ALLSE Whole Model  ALLWK Whole Model                     ETOTAL Whole Mode  LE:LE11 PI: HOST-  LE:LE22 PI: HOST-  RF:RF1 PI: HOST-1  RF:RF2 PI: HOST-1  S:S11 PI: HOST-1   S:S22 PI: HOST-1   U:U1 PI: HOST-1 N  U:U2 PI: HOST-1 N
                  X                 : 1                : 1                 -1                 -1                 -1                 -1                 -1          DT Whole Model-1         l-1          1 E: 1 Centroid    1 E: 1 Centroid          N: 1               N: 1          E: 1 Centroid      E: 1 Centroid           : 1                : 1       
                5.16854E-03     -124.467              0.               229.758E-06         42.1371E+06        35.4581E+03        42.1371E+06        42.1678E+06       112.36E-06          31.2511E+03        -6.15723E-03       20.4633E-03         0.                 1.01227E+09       -2.45254E+06        4.09631E+09       -6.13827E-03       20.6742E-03 
                5.2809E-03        -1.5039E+03         0.              -459.138E-06         43.9756E+06        36.2318E+03        43.9756E+06        44.0077E+06       112.36E-06          31.2831E+03        -6.27609E-03       20.9036E-03         0.                 1.03458E+09        2.90251E+06        4.18771E+09       -6.2564E-03        21.1236E-03 
                5.39326E-03     -805.694              0.                 1.06223E-03       45.8528E+06        37.4436E+03        45.8528E+06        45.8865E+06       112.36E-06          31.2712E+03        -6.41405E-03       21.3437E-03         0.                 1.05563E+09      768.768E+03          4.27471E+09       -6.39352E-03       21.573E-03  
                5.50562E-03      871.601              0.              -229.577E-06         47.7687E+06        37.4062E+03        47.7687E+06        47.8027E+06       112.36E-06          31.2737E+03        -6.56228E-03       21.7835E-03         0.                 1.07613E+09       -5.37701E+06        4.35936E+09       -6.54082E-03       22.0225E-03 
                5.61798E-03        1.27288E+03        0.              -689.052E-06         49.7232E+06        36.2789E+03        49.7232E+06        49.7564E+06       112.36E-06          31.2832E+03        -6.69948E-03       22.2231E-03         0.                 1.0974E+09        -7.22829E+06        4.44648E+09       -6.67711E-03       22.4719E-03 
                5.73034E-03       -1.79034            0.               344.757E-06         51.7162E+06        35.6651E+03        51.7162E+06        51.7493E+06       112.36E-06          31.2657E+03        -6.82052E-03       22.6626E-03         0.                 1.11962E+09       -2.79533E+06        4.5372E+09        -6.79733E-03       22.9213E-03 
                5.8427E-03        -1.14638E+03        0.               362.052E-09         53.7477E+06        36.2214E+03        53.7477E+06        53.7819E+06       112.36E-06          31.289E+03         -6.94161E-03       23.1019E-03         0.                 1.14171E+09        1.5995E+06         4.62787E+09       -6.91757E-03       23.3708E-03 
                5.95506E-03     -689.935              0.               459.715E-06         55.8178E+06        37.1768E+03        55.8178E+06        55.8534E+06       112.36E-06          31.2788E+03        -7.07727E-03       23.541E-03          0.                 1.16281E+09      261.36E+03           4.71517E+09       -7.05229E-03       23.8202E-03 
                6.06742E-03      624.75               0.               689.716E-06         57.9264E+06        37.2126E+03        57.9264E+06        57.9624E+06       112.36E-06          31.2784E+03        -7.2217E-03        23.9799E-03         0.                 1.18343E+09       -4.51909E+06        4.80046E+09       -7.19572E-03       24.2697E-03 
                6.17978E-03        1.01556E+03        0.               229.968E-06         60.0734E+06        36.3536E+03        60.0734E+06        60.1089E+06       112.36E-06          31.2869E+03        -7.35824E-03       24.4185E-03         0.                 1.2046E+09        -6.23712E+06        4.88748E+09       -7.33126E-03       24.7191E-03 
