1.72237e-06 1.28863e-05  6.17121e-16 0.00000e+00 
3.13384e-04 2.13183e+03  -2.13176e+03 0.00000e+00 
3.15106e-04 2.17902e+03  -2.17896e+03 0.00000e+00 
3.16827e-04 2.22699e+03  -2.22693e+03 0.00000e+00 
3.18548e-04 2.27575e+03  -2.27568e+03 0.00000e+00 
3.20270e-04 2.32530e+03  -2.32523e+03 0.00000e+00 
3.21991e-04 2.37566e+03  -2.37559e+03 0.00000e+00 
3.23713e-04 2.42683e+03  -2.42676e+03 0.00000e+00 
3.25434e-04 2.47882e+03  -2.47875e+03 0.00000e+00 
3.27155e-04 2.53164e+03  -2.53157e+03 0.00000e+00 
3.28877e-04 2.58530e+03  -2.58523e+03 0.00000e+00 
3.30598e-04 2.63981e+03  -2.63974e+03 0.00000e+00 
3.32319e-04 2.69518e+03  -2.69511e+03 0.00000e+00 
3.34041e-04 2.75141e+03  -2.75134e+03 0.00000e+00 
3.35762e-04 2.80852e+03  -2.80844e+03 0.00000e+00 
3.37483e-04 2.86651e+03  -2.86643e+03 0.00000e+00 
3.39205e-04 2.92539e+03  -2.92532e+03 0.00000e+00 
3.40926e-04 2.98518e+03  -2.98510e+03 0.00000e+00 
3.42647e-04 3.04588e+03  -3.04580e+03 0.00000e+00 
3.44369e-04 3.10749e+03  -3.10742e+03 0.00000e+00 
3.46090e-04 3.17004e+03  -3.16996e+03 0.00000e+00 
3.47811e-04 3.23352e+03  -3.23345e+03 0.00000e+00 
3.49533e-04 3.29796e+03  -3.29788e+03 0.00000e+00 
3.51254e-04 3.36335e+03  -3.36327e+03 0.00000e+00 
3.52975e-04 3.42971e+03  -3.42962e+03 0.00000e+00 
3.54696e-04 3.49704e+03  -3.49696e+03 0.00000e+00 
3.56418e-04 3.56536e+03  -3.56528e+03 0.00000e+00 
3.58139e-04 3.63468e+03  -3.63459e+03 0.00000e+00 
3.59860e-04 3.70500e+03  -3.70491e+03 0.00000e+00 
3.61582e-04 3.77633e+03  -3.77625e+03 0.00000e+00 
3.63303e-04 3.84869e+03  -3.84861e+03 0.00000e+00 
3.65024e-04 3.92209e+03  -3.92200e+03 0.00000e+00 
3.66745e-04 3.99653e+03  -3.99644e+03 0.00000e+00 
3.68467e-04 4.07202e+03  -4.07193e+03 0.00000e+00 
3.70188e-04 4.14857e+03  -4.14849e+03 0.00000e+00 
3.71909e-04 4.22620e+03  -4.22611e+03 0.00000e+00 
3.73630e-04 4.30492e+03  -4.30483e+03 0.00000e+00 
3.75351e-04 4.38472e+03  -4.38463e+03 0.00000e+00 
3.77073e-04 4.46563e+03  -4.46554e+03 0.00000e+00 
3.78794e-04 4.54766e+03  -4.54756e+03 0.00000e+00 
3.80515e-04 4.63081e+03  -4.63071e+03 0.00000e+00 
3.82236e-04 4.71509e+03  -4.71499e+03 0.00000e+00 
3.83957e-04 4.80052e+03  -4.80042e+03 0.00000e+00 
3.85679e-04 4.88710e+03  -4.88700e+03 0.00000e+00 
3.87400e-04 4.97484e+03  -4.97475e+03 0.00000e+00 
3.89121e-04 5.06377e+03  -5.06367e+03 0.00000e+00 
3.90842e-04 5.15387e+03  -5.15377e+03 0.00000e+00 
3.92563e-04 5.24518e+03  -5.24508e+03 0.00000e+00 
3.94285e-04 5.33769e+03  -5.33759e+03 0.00000e+00 
3.96006e-04 5.43142e+03  -5.43131e+03 0.00000e+00 
3.97727e-04 5.52637e+03  -5.52627e+03 0.00000e+00 
3.99448e-04 5.62257e+03  -5.62246e+03 0.00000e+00 
4.01169e-04 5.72001e+03  -5.71991e+03 0.00000e+00 
4.02890e-04 5.81872e+03  -5.81861e+03 0.00000e+00 
4.04611e-04 5.91869e+03  -5.91859e+03 0.00000e+00 
4.06332e-04 6.01995e+03  -6.01984e+03 0.00000e+00 
4.08054e-04 6.12250e+03  -6.12239e+03 0.00000e+00 
4.09775e-04 6.22635e+03  -6.22624e+03 0.00000e+00 
4.11496e-04 6.33152e+03  -6.33141e+03 0.00000e+00 
4.13217e-04 6.43802e+03  -6.43790e+03 0.00000e+00 
4.14938e-04 6.54585e+03  -6.54573e+03 0.00000e+00 
