Global Internal Force:
 0.0000E+00  0.0000E+00  3.1133E+06 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 

Global Residual Force:
 1.3525E+06  1.3525E+06  3.1133E+06 
 1.3525E+06 -1.3525E+06  3.1133E+06 
 6.8185E+05  6.8185E+05 -8.4391E+05 
 6.8185E+05 -6.8185E+05 -8.4391E+05 
-7.9339E+05 -7.9339E+05 -2.0067E+06 
-7.9339E+05  7.9339E+05 -2.0067E+06 
-1.2254E+05 -1.2254E+05 -2.6274E+05 
-1.2254E+05  1.2254E+05 -2.6274E+05 
 2.3182E-07 -7.9610E-08 -3.2792E-07 
 2.2413E-08  2.5477E-07 -5.3121E-07 
-1.3525E+06  1.3525E+06  3.1133E+06 
-1.3525E+06 -1.3525E+06  3.1133E+06 
-6.8185E+05  6.8185E+05 -8.4391E+05 
-6.8185E+05 -6.8185E+05 -8.4391E+05 
 7.9339E+05 -7.9339E+05 -2.0067E+06 
 7.9339E+05  7.9339E+05 -2.0067E+06 
s4
Global Internal Force:
-4.3482E+05 -4.3482E+05  4.3712E+06 
-4.3482E+05  4.3482E+05  4.3712E+06 
-8.5122E+05 -8.5122E+05 -1.0535E+06 
-8.5122E+05  8.5122E+05 -1.0535E+06 
-4.9995E+05 -4.9995E+05 -2.4598E+06 
-4.9995E+05  4.9995E+05 -2.4598E+06 
-8.2162E+04 -8.2162E+04 -7.9993E+05 
-8.2162E+04  8.2162E+04 -7.9993E+05 
 3.0320E+02  3.0319E+02 -5.7939E+04 
 3.0320E+02 -3.0319E+02 -5.7939E+04 
 4.3482E+05 -4.3482E+05  4.3712E+06 
 4.3482E+05  4.3482E+05  4.3712E+06 
 8.5122E+05 -8.5122E+05 -1.0535E+06 
 8.5122E+05  8.5122E+05 -1.0535E+06 
 4.9995E+05 -4.9995E+05 -2.4598E+06 
 4.9995E+05  4.9995E+05 -2.4598E+06 

Global Reaction Force:
 0.0000E+00  0.0000E+00  4.3712E+06 
 0.0000E+00  0.0000E+00  4.3712E+06 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
 0.0000E+00  0.0000E+00  0.0000E+00 
